bp	normalized
270	3.0325379188541373e-06
392	9.097613756562412e-07
353	4.852060670166619e-06
387	1.5162689594270687e-06
238	6.974837213364516e-06
258	3.335791710739551e-06
317	8.794359964676999e-06
278	3.335791710739551e-06
231	1.213015167541655e-05
268	3.639045502624965e-06
285	4.548806878281206e-06
283	4.245553086395792e-06
299	7.27809100524993e-06
456	3.032537918854137e-07
308	1.0007375132218653e-05
218	3.5177439858707995e-05
372	2.4260303350833097e-06
406	6.065075837708274e-07
407	6.065075837708274e-07
273	3.9422992945103786e-06
358	3.639045502624965e-06
242	5.4585682539374474e-06
432	3.032537918854137e-07
282	3.9422992945103786e-06
265	3.0325379188541373e-06
327	8.187852380906172e-06
429	3.032537918854137e-07
340	5.155314462052034e-06
439	3.032537918854137e-07
323	8.187852380906172e-06
421	3.032537918854137e-07
322	8.794359964676999e-06
414	3.032537918854137e-07
325	7.27809100524993e-06
385	1.5162689594270687e-06
420	3.032537918854137e-07
279	3.9422992945103786e-06
374	3.0325379188541373e-06
280	3.639045502624965e-06
305	8.491106172791584e-06
302	8.491106172791584e-06
430	3.032537918854137e-07
370	2.7292841269687237e-06
399	9.097613756562412e-07
293	5.761822045822861e-06
431	3.032537918854137e-07
367	3.0325379188541373e-06
241	5.761822045822861e-06
333	6.671583421479102e-06
286	4.852060670166619e-06
310	1.0007375132218653e-05
339	6.974837213364516e-06
342	6.065075837708275e-06
412	3.032537918854137e-07
361	3.335791710739551e-06
328	7.5813447971353435e-06
318	8.794359964676999e-06
405	6.065075837708274e-07
281	4.548806878281206e-06
395	9.097613756562412e-07
295	6.671583421479102e-06
386	1.2130151675416548e-06
351	4.548806878281206e-06
349	4.852060670166619e-06
364	3.639045502624965e-06
276	3.639045502624965e-06
427	3.032537918854137e-07
297	7.884598589020757e-06
415	3.032537918854137e-07
366	2.7292841269687237e-06
355	3.9422992945103786e-06
425	3.032537918854137e-07
448	3.032537918854137e-07
436	3.032537918854137e-07
275	3.9422992945103786e-06
402	6.065075837708274e-07
457	3.032537918854137e-07
376	2.4260303350833097e-06
403	6.065075837708274e-07
389	1.2130151675416548e-06
416	3.032537918854137e-07
348	4.852060670166619e-06
291	5.4585682539374474e-06
365	3.335791710739551e-06
397	9.097613756562412e-07
391	1.2130151675416548e-06
326	7.884598589020757e-06
303	9.704121340333239e-06
380	2.122776543197896e-06
428	3.032537918854137e-07
464	3.032537918854137e-07
437	3.032537918854137e-07
445	3.032537918854137e-07
408	3.032537918854137e-07
384	1.5162689594270687e-06
413	3.032537918854137e-07
319	8.794359964676999e-06
400	6.065075837708274e-07
371	2.4260303350833097e-06
409	6.065075837708274e-07
447	3.032537918854137e-07
262	3.335791710739551e-06
411	3.032537918854137e-07
423	3.032537918854137e-07
390	1.2130151675416548e-06
377	2.122776543197896e-06
396	9.097613756562412e-07
424	3.032537918854137e-07
